Item Usinagem;Item Blank;Item Cliente;Material;Descrição do material;Qtd de MP;Centro;Portal;Torno;Qtd no WH;Centro;Portal;Torno;OP Firme;OP Planejada;Priorizar?
7.9113.01249.00;7.9113.01257.00;208-46-B1060#00-CORT;5.0102.00250;CH 25,40x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);86,2; 0,32 ; -   ; -   ;0; -   ; -   ; -   ;11;8;0
7.9175.01693.B;7.9175.01709.B;AA00002247921#B-CORT;5.0101.00277;CH 06,30x1500x3000 LQ PR A1018 SS50/A572 GR50;6,1; 0,12 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.9175.01701.B;7.9175.01710.B;AA00002247907#B-300;5.0204.00962;TB RET 140,00x80,00x6,30x6000 A500 GR C - RR FQ;0,5; 0,17 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.9175.01702.B;7.9175.01708.B;AA00002247933#B-CORT;5.0104.00278;CH 06,30x1200x3100 LQ PR SAR60;0,7; 0,05 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.9175.01703.B;7.9175.01711.B;AA00002331292#B-CORT;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;1,7; 0,10 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.9175.01706.B;7.9175.01712.B;AA00002247927#B-CORT;5.0101.00277;CH 06,30x1500x3000 LQ PR A1018 SS50/A572 GR50;0,6; 0,07 ; -   ; -   ;4; 0,26 ; -   ; -   ;0;0;0
7.9175.01873.EMB;7.9175.01846.EMB;;5.0221.00030;TB QUA 30,00x2,00x6000 SAE 1020 (U.I.);0,2; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.02202.03;7.0124.11875.03;6G-5538#03-CORTE;5.0102.00269;CH 06,30x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,0; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.02872.02;7.0124.11667.02;307-2888#02-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);34,7; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.03743.06;7.0124.11668.06;257-6828#06-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);104,6; -   ; -   ; -   ;11; -   ; -   ; -   ;67;42;11
