Estacao,Data Inicial,Data Final,Ordem,Produto,Qtd OK,Qtd NOK,Tempo Teorico,Tempo Teorico Total,Tempo Parada,Tempo Real,Tempo Real Total,Etapa,Fabricante,Turno,Setor
RB05,2026-05-20T18:08:13.197,2026-05-21T07:32:16.823,SQO260520180811267,7.3558.02069.06,12,0,16.93,203.16,173,52.583333333333336,12,0,,1,ROBO DE SOLDA
RB12,2026-05-20T20:39:36.57,2026-05-21T21:01:37.093,SQO260520203935041,7.0124.10608.00,4,0,85.33,341.32,,,4,0,,2,ROBO DE SOLDA
CTU29,2026-05-21T01:24:37.95,2026-05-21T07:39:43.757,SQO260520184111627,8.2155.02999.P02,1,0,5.17,5.17,21,354,1,0,PALETEIRA,1,USINAGEM
CTU29,2026-05-21T01:24:45.657,2026-05-21T07:39:31.52,SQO260520001345406,8.7129.00502.F,1,0,14,14,21,353,1,0,PALETEIRA,1,USINAGEM
CTU02,2026-05-21T01:40:10.993,2026-05-21T07:57:02.743,SQO260520091304880,7.0124.11001.02,1,0,49,49,41,335,1,0,,1,USINAGEM
CTU12,2026-05-21T01:47:37.527,2026-05-21T07:24:31.547,SQO260520194713724,7.7366.00596.E02,1,0,103,103,21,315,1,0,,1,USINAGEM
MD10,2026-05-21T05:56:19.373,2026-05-21T08:17:28.703,SQO260521052759346,7.6891.00662.01,1,0,68.52,68.52,32,109,1,0,DOOSAN,1,USINAGEM
MD07,2026-05-21T06:07:53.15,2026-05-21T16:11:07.65,SQO260521024717332,7.3558.02094.00,8,0,16,128,14,73.625,8,0,HELLER,1,USINAGEM
MD09,2026-05-21T06:09:25.12,2026-05-21T21:56:49.3,SQO260521002355990,8.6577.00495.03,1,0,31,31,509,438,1,0,HELLER,2,USINAGEM
RB40,2026-05-21T06:15:55.137,2026-05-21T07:52:24.953,SQO260521061551963,7.0124.11117.04,1,0,157.1,157.1,10,86,1,0,,1,ROBO DE SOLDA
CTU22,2026-05-21T06:23:32.82,2026-05-21T07:49:25.04,SQO260521045451078,7.0124.09942.00,1,0,23.21,23.21,16,69,1,0,,1,USINAGEM
CTU19,2026-05-21T06:32:51.687,2026-05-21T07:03:26.933,SQO260520003358089,7.7129.01021.D,1,0,60,60,14,16,1,0,,1,USINAGEM
CTU26,2026-05-21T06:39:00.777,2026-05-21T11:10:53.197,SQO260521035123160,7.7800.00713.01,27,0,3.95,106.65,46,8.333333333333334,27,0,,1,USINAGEM
TC03,2026-05-21T06:43:16.233,2026-05-21T07:01:53.45,SQO260521005744134,7.0124.04132.01,1,0,3.5,3.5,10,8,1,0,,1,USINAGEM
CTU28,2026-05-21T06:43:17.08,2026-05-21T07:01:32.947,SQO260521003023998,7.6689.00540.00,1,0,15.13,15.13,7,11,1,0,,1,USINAGEM
CTU27,2026-05-21T06:44:59.263,2026-05-21T07:06:20.647,SQO260521061029186,7.0124.11824.H01,1,0,5,5,17,4,1,0,,1,USINAGEM
